FrameID, MovementScore
1,0.000
2,0.000
3,0.000
4,0.000
5,80044.130
6,69398.270
7,60168.290
8,52165.910
9,45227.840
10,39212.590
11,33997.360
12,29475.710
13,25555.440
14,22156.570
15,19209.750
16,16654.900
17,14439.870
18,12519.910
19,10855.390
20,9411.878
21,8160.298
22,7075.239
23,6135.096
24,5319.582
25,4613.979
26,4002.240
27,3474.394
28,3018.870
29,2625.804
30,2283.404
31,1987.716
32,1734.953
33,1517.740
34,1329.759
35,1171.906
36,1037.352
37,918.233
38,818.827
39,732.696
40,660.637
41,610.835
42,561.315
43,520.327
44,485.839
45,460.074
46,444.211
47,442.670
48,442.446
49,447.621
50,455.276
51,472.692
52,478.144
53,475.101
54,457.792
55,448.641
56,451.226
57,457.571
58,480.053
59,509.311
60,533.358
61,551.871
62,574.280
63,599.741
64,620.625
65,630.253
66,637.443
67,634.479
68,618.531
69,592.141
70,574.972
71,565.212
72,542.192
73,541.331
74,530.571
75,551.651
76,555.005
77,581.304
78,598.441
79,642.978
80,676.106
81,719.506
82,767.106
83,840.736
84,901.950
85,937.424
86,973.454
87,1017.566
88,1052.403
89,1085.662
90,1126.466
91,1172.176
92,1215.849
93,1256.045
94,1313.748
95,1379.285
96,1422.762
97,1454.796
98,1476.987
99,1525.139
100,1564.751
101,1605.504
102,1635.736
103,1702.328
104,1738.592
105,1796.494
106,1810.761
107,1857.684
108,1820.376
109,1796.878
110,1748.813
111,1726.612
112,1699.127
113,1660.351
114,1610.547
115,1576.521
116,1534.897
117,1496.164
118,1443.800
119,1409.954
120,1351.118
121,1264.755
122,1193.322
123,1152.726
124,1095.395
125,1058.595
126,999.258
127,982.267
128,960.026
129,958.235
130,959.646
131,991.335
132,987.370
133,969.361
134,921.407
135,899.656
136,854.818
137,799.374
138,741.672
139,702.943
140,688.917
141,671.459
142,654.273
143,660.988
144,662.430
145,665.229
146,653.716
147,638.820
148,627.993
149,613.914
150,588.756
151,580.237
152,555.189
153,539.298
154,521.626
155,536.380
156,537.142
157,550.879
158,552.854
159,576.197
160,569.156
161,573.890
162,573.237
163,592.598
164,611.735
