FrameID, MovementScore
1,0.000
2,0.000
3,0.000
4,0.000
5,78693.570
6,68227.330
7,59153.090
8,51285.730
9,44464.730
10,38550.920
11,33423.650
12,28978.300
13,25124.190
14,21782.670
15,18885.580
16,16373.800
17,14196.080
18,12308.000
19,10671.040
20,9251.791
21,8021.303
22,6954.470
23,6029.525
24,5227.598
25,4532.328
26,3929.528
27,3406.975
28,2953.862
29,2562.113
30,2224.830
31,1931.735
32,1676.080
33,1454.633
34,1264.076
35,1100.249
36,959.128
37,836.566
38,733.093
39,644.200
40,568.541
41,502.538
42,446.105
43,405.252
44,362.455
45,327.650
46,298.056
47,274.219
48,257.170
49,245.166
50,234.540
51,228.094
52,223.551
53,231.141
54,233.198
55,238.763
56,242.334
57,246.082
58,252.232
59,262.918
60,271.117
61,282.678
62,286.189
63,287.500
64,278.698
65,278.134
66,277.018
67,281.218
68,285.196
69,286.708
70,278.415
71,269.355
72,258.573
73,251.666
74,246.717
75,237.376
76,233.416
77,231.895
78,225.705
79,222.575
80,231.011
81,238.203
82,259.095
83,278.799
84,305.437
85,339.836
86,369.780
87,396.875
88,419.432
89,443.930
90,466.476
91,496.348
92,509.558
93,533.207
94,552.510
95,589.183
96,604.192
97,625.855
98,640.292
99,659.113
100,671.329
101,684.278
102,699.269
103,724.492
104,755.106
105,775.243
106,799.775
107,846.446
108,903.052
109,917.929
110,925.253
111,948.451
112,939.034
113,936.949
114,922.519
115,916.925
116,894.083
117,881.178
118,861.326
119,859.761
120,849.406
121,856.596
122,829.601
123,791.632
124,749.034
125,713.833
126,677.442
127,645.251
128,618.087
129,597.476
130,574.926
131,561.183
132,544.381
133,526.439
134,533.015
135,499.401
136,463.228
137,441.682
138,411.651
139,382.334
140,345.481
141,320.695
142,294.244
143,276.497
144,263.871
145,263.667
146,266.174
147,281.446
148,275.632
149,268.840
150,262.716
151,254.310
152,247.735
153,241.796
154,231.955
155,221.849
156,214.587
157,204.893
158,197.727
159,203.374
160,233.171
161,233.117
162,237.015
163,246.872
164,253.512
165,270.233
166,279.332
167,289.498
168,292.965
169,295.137
170,278.853
171,260.655
