FrameID, MovementScore
1,0.000
2,0.000
3,0.000
4,0.000
5,80044.130
6,69398.270
7,60168.290
8,52165.910
9,45227.840
10,39212.540
11,33997.310
12,29476.080
13,25555.760
14,22156.840
15,19209.980
16,16655.060
17,14439.930
18,12519.420
19,10854.410
20,9410.776
21,8159.508
22,7074.408
23,6133.995
24,5318.814
25,4613.044
26,4000.427
27,3471.081
28,3016.477
29,2624.320
30,2279.996
31,1981.120
32,1723.282
33,1502.719
34,1317.695
35,1157.005
36,1019.226
37,898.411
38,792.807
39,703.574
40,631.537
41,573.853
42,533.082
43,497.460
44,465.894
45,444.855
46,424.900
47,417.928
48,418.255
49,431.515
50,447.367
51,472.044
52,487.390
53,496.988
54,499.030
55,489.200
56,481.436
57,492.838
58,520.882
59,545.121
60,576.168
61,616.010
62,643.336
63,656.081
64,674.547
65,681.012
66,679.164
67,681.053
68,669.568
69,669.532
70,646.705
71,631.909
72,603.367
73,586.898
74,555.590
75,549.374
76,538.220
77,550.534
78,553.548
79,592.443
80,613.346
81,641.116
82,682.716
83,749.441
84,808.233
85,864.737
86,914.659
87,965.846
88,1009.501
89,1064.221
90,1171.852
91,1200.873
92,1229.291
93,1264.408
94,1314.485
95,1372.139
96,1408.534
97,1426.747
98,1447.918
99,1474.220
100,1474.873
101,1493.408
102,1532.444
103,1580.297
104,1608.578
105,1701.516
106,1761.746
107,1802.969
108,1824.167
109,1859.803
110,1881.895
111,1859.239
112,1821.379
113,1809.090
114,1773.017
115,1727.209
116,1682.987
117,1656.684
118,1618.530
119,1592.255
120,1524.549
121,1457.259
122,1356.283
123,1295.011
124,1211.738
125,1166.699
126,1095.295
127,1046.572
128,990.174
129,969.237
130,928.881
131,954.374
132,931.355
133,895.405
134,851.184
135,824.695
136,788.305
137,758.351
138,703.715
139,657.826
140,613.721
141,586.495
142,573.837
143,576.781
144,567.244
145,564.652
146,551.234
147,558.931
148,544.459
149,547.591
150,536.572
151,540.963
152,526.350
153,516.655
154,498.805
155,504.273
156,491.912
157,522.215
158,521.693
159,518.961
160,509.638
161,515.982
162,531.857
163,549.844
164,557.331
