FrameID, MovementScore
1,0.000
2,0.000
3,0.000
4,0.000
5,77808.070
6,67459.600
7,58487.470
8,50708.640
9,43964.390
10,38117.130
11,33047.550
12,28652.220
13,24841.480
14,21537.560
15,18673.070
16,16189.550
17,14036.340
18,12169.510
19,10550.970
20,9147.687
21,7931.045
22,6876.223
23,5961.770
24,5168.855
25,4481.574
26,3885.812
27,3369.395
28,2922.326
29,2535.827
30,2199.362
31,1907.693
32,1655.436
33,1436.323
34,1246.197
35,1080.592
36,937.204
37,812.822
38,704.943
39,611.257
40,531.993
41,463.896
42,403.895
43,354.794
44,310.351
45,271.778
46,238.779
47,210.893
48,186.085
49,166.441
50,149.474
51,138.230
52,130.445
53,122.893
54,111.067
55,101.506
56,93.915
57,89.826
58,87.516
59,87.599
60,85.277
61,80.977
62,76.065
63,74.175
64,71.018
65,66.374
66,63.562
67,64.449
68,63.962
69,60.459
70,57.682
71,59.455
72,57.989
73,55.795
74,53.156
75,54.268
76,55.680
77,56.178
78,58.656
79,65.379
80,69.031
81,70.569
82,74.515
83,85.546
84,89.851
85,97.314
86,105.643
87,121.011
88,132.323
89,145.453
90,159.843
91,180.898
92,193.814
93,204.542
94,211.021
95,223.392
96,222.293
97,220.656
98,216.641
99,222.231
100,218.513
101,223.682
102,228.957
103,237.949
104,242.450
105,247.166
106,248.379
107,257.962
108,259.746
109,260.309
110,256.450
111,257.228
112,252.492
113,249.052
114,239.930
115,240.120
116,238.031
117,231.292
118,227.434
119,244.406
120,269.315
121,283.083
122,285.753
123,297.266
124,301.773
125,315.322
126,314.715
127,311.608
128,296.842
129,288.178
130,272.704
131,255.718
132,240.600
133,237.733
134,228.945
135,220.252
136,209.129
137,205.919
138,194.375
139,188.375
140,180.376
141,184.818
142,182.615
143,185.242
144,181.549
145,184.987
146,182.120
147,185.906
148,183.675
149,191.164
150,193.951
151,204.126
152,207.300
153,218.997
154,221.787
155,223.679
156,219.804
157,219.328
158,210.936
159,206.484
160,197.058
161,195.444
162,186.596
163,177.085
164,167.462
165,159.851
166,148.395
167,141.720
168,131.375
169,120.679
170,111.198
171,106.671
